# lon[degrees] lat[degrees] disp_los[m] sigma_los[m] V_e V_n V_u
-83.4953 44.0738 -0.0154 0.0100 0.5774 0.5774 0.5774
-82.1204 41.9293 0.0013 0.0100 0.5774 0.5774 0.5774
-85.0875 43.2587 -0.0231 0.0100 0.5774 0.5774 0.5774
-83.7722 44.8045 -0.0109 0.0100 0.5774 0.5774 0.5774
-84.8830 44.0547 -0.0078 0.0100 0.5774 0.5774 0.5774
-85.6250 44.6776 -0.0027 0.0100 0.5774 0.5774 0.5774
-84.0340 43.1176 0.1935 0.0100 0.5774 0.5774 0.5774
-84.0813 44.2230 -0.0079 0.0100 0.5774 0.5774 0.5774
-83.7694 43.8689 -0.0180 0.0100 0.5774 0.5774 0.5774
-83.1002 41.5555 0.0034 0.0100 0.5774 0.5774 0.5774
