# lon[degrees] lat[degrees] disp_e[m] disp_n[m] disp_v[m] sigma_e[m] sigma_n[m] sigma_u[m]
-83.0645 43.6578 -0.0085 -0.0302 0.0108 0.0030 0.0030 0.0030
-84.4428 43.9770 -0.0165 -0.0137 -0.0019 0.0030 0.0030 0.0030
-85.1093 43.1440 -0.0397 0.0049 -0.0094 0.0030 0.0030 0.0030
-84.5849 44.1124 -0.0076 -0.0014 0.0001 0.0030 0.0030 0.0030
-84.1232 43.3057 0.1331 0.0460 0.0064 0.0030 0.0030 0.0030
-82.9169 43.3421 0.0849 -0.0142 0.0422 0.0030 0.0030 0.0030
-83.1026 43.9687 -0.0123 -0.0233 0.0037 0.0030 0.0030 0.0030
-84.3131 45.0072 -0.0058 -0.0104 -0.0015 0.0030 0.0030 0.0030
-84.2923 44.3469 -0.0049 -0.0053 0.0046 0.0030 0.0030 0.0030
-84.7620 44.4446 -0.0078 0.0009 -0.0012 0.0030 0.0030 0.0030
-84.2731 42.4301 0.0266 0.0390 -0.0055 0.0030 0.0030 0.0030
-86.3096 42.3788 -0.0000 0.0179 0.0035 0.0030 0.0030 0.0030
-84.0061 41.3061 0.0012 0.0084 0.0062 0.0030 0.0030 0.0030
-83.9185 44.1753 -0.0125 -0.0182 0.0061 0.0030 0.0030 0.0030
-82.7735 42.7957 0.0420 -0.0183 0.0062 0.0030 0.0030 0.0030
-84.1380 43.1561 0.2388 0.0918 -0.0009 0.0030 0.0030 0.0030
-82.8695 44.6492 -0.0070 -0.0051 0.0037 0.0030 0.0030 0.0030
-83.2395 43.1669 0.1281 -0.0074 0.0368 0.0030 0.0030 0.0030
-83.9328 42.1863 0.0152 0.0150 0.0037 0.0030 0.0030 0.0030
-85.8850 43.2086 -0.0164 0.0099 -0.0045 0.0030 0.0030 0.0030
-83.0955 42.5904 0.0359 -0.0151 0.0006 0.0030 0.0030 0.0030
-85.0321 42.5223 0.0413 0.0641 -0.0148 0.0030 0.0030 0.0030
-84.2964 43.7135 -0.0269 -0.0145 -0.0028 0.0030 0.0030 0.0030
-84.5134 42.4947 0.0426 0.0481 -0.0142 0.0030 0.0030 0.0030
-81.4381 42.3646 0.0105 -0.0060 0.0017 0.0030 0.0030 0.0030
-84.7256 42.9207 0.1527 0.0937 -0.0448 0.0030 0.0030 0.0030
-84.3348 42.8633 0.1420 0.1001 -0.0267 0.0030 0.0030 0.0030
-85.3012 42.8942 0.0512 0.0465 -0.0428 0.0030 0.0030 0.0030
-83.4964 45.1345 0.0012 -0.0064 0.0036 0.0030 0.0030 0.0030
-81.8115 42.6495 0.0164 -0.0080 0.0044 0.0030 0.0030 0.0030
-85.1500 42.4218 0.0363 0.0524 -0.0093 0.0030 0.0030 0.0030
-84.6045 42.9052 0.1573 0.1080 -0.0426 0.0030 0.0030 0.0030
-86.6401 44.6073 -0.0061 0.0020 0.0025 0.0030 0.0030 0.0030
-83.0075 43.0087 0.0756 -0.0258 0.0136 0.0030 0.0030 0.0030
-84.4049 43.1706 0.1785 0.0690 -0.0209 0.0030 0.0030 0.0030
-84.8020 43.1901 -0.0472 0.0012 -0.0090 0.0030 0.0030 0.0030
-83.6997 41.1133 0.0020 0.0039 0.0040 0.0030 0.0030 0.0030
-83.4084 42.6492 0.0496 -0.0112 -0.0019 0.0030 0.0030 0.0030
-83.7903 44.2147 -0.0108 -0.0167 0.0059 0.0030 0.0030 0.0030
-84.4054 42.7848 0.1088 0.0920 -0.0267 0.0030 0.0030 0.0030
-83.6510 44.2190 -0.0133 -0.0180 -0.0012 0.0030 0.0030 0.0030
-82.6004 44.7530 -0.0049 -0.0057 -0.0003 0.0030 0.0030 0.0030
-85.6842 43.9984 -0.0156 0.0077 -0.0092 0.0030 0.0030 0.0030
-83.7082 43.7135 -0.0284 -0.0279 0.0069 0.0030 0.0030 0.0030
-84.1247 45.7054 0.0027 -0.0049 0.0018 0.0030 0.0030 0.0030
-84.3258 44.0904 -0.0106 -0.0055 -0.0021 0.0030 0.0030 0.0030
-83.3770 43.2140 0.1596 0.0113 0.0422 0.0030 0.0030 0.0030
-85.6883 44.4413 -0.0080 0.0019 -0.0007 0.0030 0.0030 0.0030
-83.5879 44.9099 -0.0032 -0.0072 0.0019 0.0030 0.0030 0.0030
-83.5579 43.5007 -0.0375 -0.0301 0.0123 0.0030 0.0030 0.0030
-85.0377 44.3668 -0.0139 -0.0058 -0.0036 0.0030 0.0030 0.0030
-85.1574 44.2181 -0.0062 0.0025 0.0030 0.0030 0.0030 0.0030
-83.1164 44.0503 -0.0127 -0.0194 0.0025 0.0030 0.0030 0.0030
-83.8660 43.6845 -0.0308 -0.0292 0.0055 0.0030 0.0030 0.0030
-81.1533 43.1797 0.0077 -0.0016 -0.0034 0.0030 0.0030 0.0030
-83.1099 43.8391 -0.0121 -0.0258 0.0040 0.0030 0.0030 0.0030
-83.8034 43.8478 -0.0143 -0.0255 0.0079 0.0030 0.0030 0.0030
-83.6581 43.2710 0.1998 0.0561 0.0446 0.0030 0.0030 0.0030
-84.2497 41.9841 0.0096 0.0173 0.0017 0.0030 0.0030 0.0030
-84.5258 44.5795 -0.0046 -0.0067 -0.0022 0.0030 0.0030 0.0030
-84.0093 42.3185 0.0169 0.0196 -0.0040 0.0030 0.0030 0.0030
-84.4309 42.4535 0.0315 0.0505 -0.0058 0.0030 0.0030 0.0030
-84.6469 43.8101 -0.0209 -0.0030 0.0036 0.0030 0.0030 0.0030
-83.7108 45.0422 -0.0019 -0.0089 -0.0006 0.0030 0.0030 0.0030
-82.5646 42.7212 0.0335 -0.0162 0.0015 0.0030 0.0030 0.0030
-84.1218 42.2660 0.0184 0.0214 -0.0050 0.0030 0.0030 0.0030
-84.2561 43.8730 -0.0166 -0.0117 0.0053 0.0030 0.0030 0.0030
-84.6811 42.6056 0.0646 0.0770 -0.0180 0.0030 0.0030 0.0030
-84.7605 43.9267 -0.0154 -0.0042 -0.0032 0.0030 0.0030 0.0030
-85.0987 44.3749 -0.0036 -0.0021 0.0018 0.0030 0.0030 0.0030
-82.9486 43.1093 0.0837 -0.0209 0.0221 0.0030 0.0030 0.0030
-83.9060 42.4792 0.0366 0.0147 0.0046 0.0030 0.0030 0.0030
