# lon[degrees] lat[degrees] disp_e[m] disp_n[m] disp_v[m] sigma_e[m] sigma_n[m] sigma_u[m]
-82.7426 44.3572 -0.0063 -0.0133 0.0040 -0.0000 -0.0000 0.0000
-83.6029 42.6134 0.0448 0.0090 0.0001 0.0000 0.0000 0.0000
-82.6455 41.9451 0.0105 -0.0046 -0.0013 0.0000 -0.0000 -0.0000
-83.6838 44.1701 -0.0110 -0.0146 0.0037 -0.0000 -0.0000 0.0000
-86.2185 44.8639 -0.0045 0.0019 -0.0012 -0.0000 0.0000 -0.0000
-83.0455 42.2084 0.0162 -0.0041 -0.0009 0.0000 -0.0000 -0.0000
-83.7317 43.3980 0.2149 0.0703 -0.0023 0.0000 0.0000 -0.0000
-85.5050 42.9064 0.0143 0.0221 -0.0136 0.0000 0.0000 -0.0000
-85.2052 43.4684 -0.0293 0.0061 -0.0045 -0.0000 0.0000 -0.0000
-84.0383 43.2078 0.1939 0.0674 -0.0035 0.0000 0.0000 -0.0000
-85.0960 44.1954 -0.0106 0.0007 -0.0013 -0.0000 0.0000 -0.0000
-84.6723 43.1476 0.2110 0.0799 -0.0070 0.0000 0.0000 -0.0000
-83.0046 42.4106 0.0224 -0.0066 -0.0008 0.0000 -0.0000 -0.0000
-84.2151 43.0320 0.1634 0.0599 -0.0032 0.0000 0.0000 -0.0000
-83.1160 43.9410 -0.0126 -0.0268 0.0068 -0.0000 -0.0000 0.0000
-83.6743 42.3133 0.0233 0.0065 0.0000 0.0000 0.0000 0.0000
-82.7088 43.5247 0.0467 -0.0025 0.0155 0.0000 -0.0000 0.0000
-82.2626 42.6170 0.0229 -0.0114 -0.0012 0.0000 -0.0000 -0.0000
-83.4156 41.5476 0.0058 0.0021 0.0001 0.0000 0.0000 0.0000
-83.5233 42.9216 0.0877 0.0195 0.0012 0.0000 0.0000 0.0000
-84.4257 42.9334 0.1478 0.0584 -0.0038 0.0000 0.0000 -0.0000
-84.0121 42.6701 0.0652 0.0250 -0.0000 0.0000 0.0000 -0.0000
-83.8985 40.9059 0.0026 0.0040 0.0008 0.0000 0.0000 0.0000
-83.6276 43.7472 -0.0304 -0.0219 0.0046 -0.0000 -0.0000 0.0000
-83.5678 43.5284 -0.0618 -0.0287 0.0048 -0.0000 -0.0000 0.0000
-84.6854 42.1772 0.0168 0.0292 -0.0005 0.0000 0.0000 -0.0000
-86.0875 44.0638 -0.0098 0.0047 -0.0027 -0.0000 0.0000 -0.0000
-83.6574 43.5491 -0.0557 -0.0257 0.0040 -0.0000 -0.0000 0.0000
-83.5743 43.6147 -0.0466 -0.0257 0.0048 -0.0000 -0.0000 0.0000
-82.2377 42.5375 0.0204 -0.0104 -0.0015 0.0000 -0.0000 -0.0000
-85.1046 43.5192 -0.0288 0.0035 -0.0038 -0.0000 0.0000 -0.0000
-84.6883 43.2900 -0.0600 -0.0132 -0.0016 -0.0000 -0.0000 -0.0000
-82.5408 42.9118 0.0419 -0.0192 0.0040 0.0000 -0.0000 0.0000
-84.1096 44.6939 -0.0051 -0.0063 0.0017 -0.0000 -0.0000 0.0000
-83.3930 43.0756 0.1093 0.0222 0.0036 0.0000 0.0000 0.0000
-84.1520 43.1059 0.1779 0.0636 -0.0034 0.0000 0.0000 -0.0000
-85.0918 42.2002 0.0185 0.0386 -0.0029 0.0000 0.0000 -0.0000
-84.3077 42.1744 0.0177 0.0191 0.0006 0.0000 0.0000 0.0000
-85.4666 44.2777 -0.0090 0.0025 -0.0018 -0.0000 0.0000 -0.0000
-84.3761 42.9593 0.1527 0.0590 -0.0036 0.0000 0.0000 -0.0000
-83.5098 42.9322 0.0888 0.0194 0.0013 0.0000 0.0000 0.0000
-84.6483 43.1223 0.2048 0.0777 -0.0068 0.0000 0.0000 -0.0000
-85.4289 44.0064 -0.0127 0.0039 -0.0026 -0.0000 0.0000 -0.0000
-84.1682 41.4727 0.0049 0.0082 0.0012 0.0000 0.0000 0.0000
-84.1016 45.4927 -0.0022 -0.0036 0.0011 -0.0000 -0.0000 0.0000
-84.2915 43.4546 -0.0527 -0.0164 0.0005 -0.0000 -0.0000 0.0000
-84.7031 43.2484 -0.0652 -0.0147 -0.0016 -0.0000 -0.0000 -0.0000
-83.8145 43.3292 0.2060 0.0686 -0.0028 0.0000 0.0000 -0.0000
-83.7269 42.2772 0.0218 0.0073 0.0001 0.0000 0.0000 0.0000
-83.9506 42.7384 0.0756 0.0268 -0.0001 0.0000 0.0000 -0.0000
-84.3310 43.1383 0.1942 0.0708 -0.0046 0.0000 0.0000 -0.0000
-82.1312 42.0943 0.0115 -0.0063 -0.0018 0.0000 -0.0000 -0.0000
-83.9932 43.8486 -0.0238 -0.0137 0.0024 -0.0000 -0.0000 0.0000
-85.4938 43.7361 -0.0175 0.0066 -0.0038 -0.0000 0.0000 -0.0000
-83.7413 44.1570 -0.0114 -0.0141 0.0035 -0.0000 -0.0000 0.0000
-82.3545 43.5300 0.0234 -0.0035 0.0041 0.0000 -0.0000 0.0000
-85.3483 44.2418 -0.0096 0.0021 -0.0017 -0.0000 0.0000 -0.0000
-83.9293 42.6175 0.0544 0.0198 0.0001 0.0000 0.0000 0.0000
-82.9517 43.8263 -0.0122 -0.0291 0.0077 -0.0000 -0.0000 0.0000
-85.2774 41.0685 0.0038 0.0087 0.0018 0.0000 0.0000 0.0000
-86.6385 42.6481 -0.0011 0.0043 -0.0011 -0.0000 0.0000 -0.0000
-83.6571 41.5753 0.0059 0.0041 0.0004 0.0000 0.0000 0.0000
-84.9996 43.5521 -0.0292 0.0011 -0.0032 -0.0000 0.0000 -0.0000
-84.1629 42.8044 0.1000 0.0391 -0.0009 0.0000 0.0000 -0.0000
