# lon[degrees] lat[degrees] disp_los[m] sigma_los[m] V_e V_n V_u
-85.5694 42.0057 0.0358 0.0100 1.0000 1.0000 1.0000
-83.5087 41.6186 0.0163 0.0100 1.0000 1.0000 1.0000
-83.4363 43.5162 -0.0476 0.0100 1.0000 1.0000 1.0000
-81.9015 43.3926 0.0118 0.0100 1.0000 1.0000 1.0000
-83.6326 44.9580 -0.0084 0.0100 1.0000 1.0000 1.0000
-83.3640 42.3016 0.0143 0.0100 1.0000 1.0000 1.0000
-84.1179 44.6634 -0.0091 0.0100 1.0000 1.0000 1.0000
-84.9098 42.9002 0.1674 0.0100 1.0000 1.0000 1.0000
-83.7647 43.2926 0.2964 0.0100 1.0000 1.0000 1.0000
-85.5594 43.4006 -0.0252 0.0100 1.0000 1.0000 1.0000
-82.7821 42.5041 0.0162 0.0100 1.0000 1.0000 1.0000
-84.3210 43.7673 -0.0353 0.0100 1.0000 1.0000 1.0000
-83.2227 44.3074 -0.0269 0.0100 1.0000 1.0000 1.0000
-83.5468 43.0818 0.2080 0.0100 1.0000 1.0000 1.0000
-85.8864 43.6203 -0.0202 0.0100 1.0000 1.0000 1.0000
-85.6149 44.4284 -0.0088 0.0100 1.0000 1.0000 1.0000
-83.8113 43.6203 -0.0757 0.0100 1.0000 1.0000 1.0000
-84.9046 44.4307 -0.0152 0.0100 1.0000 1.0000 1.0000
-83.9639 42.6260 0.0776 0.0100 1.0000 1.0000 1.0000
-84.0103 43.3953 -0.0887 0.0100 1.0000 1.0000 1.0000
-84.6021 42.9992 0.2360 0.0100 1.0000 1.0000 1.0000
-83.6836 43.4130 0.1767 0.0100 1.0000 1.0000 1.0000
-83.7668 43.2438 0.3243 0.0100 1.0000 1.0000 1.0000
-85.6009 42.4366 0.0484 0.0100 1.0000 1.0000 1.0000
-85.1442 43.0718 -0.0465 0.0100 1.0000 1.0000 1.0000
-83.1848 42.4378 0.0247 0.0100 1.0000 1.0000 1.0000
-84.7472 42.8009 0.1741 0.0100 1.0000 1.0000 1.0000
-86.1429 43.9785 -0.0069 0.0100 1.0000 1.0000 1.0000
-84.3984 44.5650 -0.0120 0.0100 1.0000 1.0000 1.0000
-85.0516 44.3605 0.0002 0.0100 1.0000 1.0000 1.0000
-83.1672 43.7708 -0.0448 0.0100 1.0000 1.0000 1.0000
-86.3545 43.7221 -0.0019 0.0100 1.0000 1.0000 1.0000
-84.7377 44.1047 -0.0175 0.0100 1.0000 1.0000 1.0000
-84.2854 43.5838 -0.0535 0.0100 1.0000 1.0000 1.0000
-84.9458 40.8688 0.0168 0.0100 1.0000 1.0000 1.0000
-84.1469 43.3928 -0.0868 0.0100 1.0000 1.0000 1.0000
-83.7011 42.6402 0.0591 0.0100 1.0000 1.0000 1.0000
-84.1995 43.4465 -0.0741 0.0100 1.0000 1.0000 1.0000
-84.2921 42.2565 0.0438 0.0100 1.0000 1.0000 1.0000
-83.2323 43.1647 0.1488 0.0100 1.0000 1.0000 1.0000
-85.5851 43.7384 -0.0120 0.0100 1.0000 1.0000 1.0000
-81.1278 43.5816 0.0063 0.0100 1.0000 1.0000 1.0000
-83.5810 42.3985 0.0294 0.0100 1.0000 1.0000 1.0000
-84.3674 42.9932 0.2651 0.0100 1.0000 1.0000 1.0000
-85.1509 43.3082 -0.0357 0.0100 1.0000 1.0000 1.0000
-84.3091 44.7245 -0.0119 0.0100 1.0000 1.0000 1.0000
-83.9406 42.1566 0.0261 0.0100 1.0000 1.0000 1.0000
-85.1024 42.7524 0.1043 0.0100 1.0000 1.0000 1.0000
-81.9598 45.1621 -0.0030 0.0100 1.0000 1.0000 1.0000
-82.6017 44.2886 -0.0235 0.0100 1.0000 1.0000 1.0000
-85.1968 43.2857 -0.0331 0.0100 1.0000 1.0000 1.0000
-86.1676 44.5583 -0.0174 0.0100 1.0000 1.0000 1.0000
-83.7710 43.1346 0.2999 0.0100 1.0000 1.0000 1.0000
-83.3674 44.3194 -0.0211 0.0100 1.0000 1.0000 1.0000
-84.3924 42.6934 0.1361 0.0100 1.0000 1.0000 1.0000
-83.5431 44.1560 -0.0251 0.0100 1.0000 1.0000 1.0000
-84.3320 43.0777 0.2906 0.0100 1.0000 1.0000 1.0000
-83.8500 45.4258 -0.0137 0.0100 1.0000 1.0000 1.0000
-85.6852 42.2522 0.0380 0.0100 1.0000 1.0000 1.0000
-84.3910 42.4941 0.0840 0.0100 1.0000 1.0000 1.0000
-84.3359 41.3426 0.0231 0.0100 1.0000 1.0000 1.0000
-84.3123 42.4425 0.0757 0.0100 1.0000 1.0000 1.0000
-83.1263 42.1670 0.0037 0.0100 1.0000 1.0000 1.0000
-84.6515 41.9641 0.0368 0.0100 1.0000 1.0000 1.0000
-83.9402 42.7874 0.1216 0.0100 1.0000 1.0000 1.0000
-84.5156 42.4270 0.0739 0.0100 1.0000 1.0000 1.0000
-83.6781 42.4692 0.0349 0.0100 1.0000 1.0000 1.0000
-85.9445 43.1279 -0.0202 0.0100 1.0000 1.0000 1.0000
-85.5106 44.7484 0.0017 0.0100 1.0000 1.0000 1.0000
-85.1727 43.0486 -0.0432 0.0100 1.0000 1.0000 1.0000
-82.4357 43.5693 0.0153 0.0100 1.0000 1.0000 1.0000
-81.6781 42.0113 0.0053 0.0100 1.0000 1.0000 1.0000
