# lon[degrees] lat[degrees] disp_e[m] disp_n[m] disp_v[m] sigma_e[m] sigma_n[m] sigma_u[m]
-84.2193 44.3635 -0.0038 -0.0058 -0.0035 0.0030 0.0030 0.0030
-83.7248 43.7108 -0.0299 -0.0324 0.0054 0.0030 0.0030 0.0030
-83.0731 42.7110 0.0424 -0.0159 -0.0009 0.0030 0.0030 0.0030
-83.6134 42.8725 0.1039 0.0014 0.0078 0.0030 0.0030 0.0030
-83.9740 43.5123 -0.0444 -0.0267 0.0040 0.0030 0.0030 0.0030
-85.8077 41.5385 0.0140 0.0109 -0.0008 0.0030 0.0030 0.0030
-85.3725 43.8516 -0.0166 0.0032 -0.0042 0.0030 0.0030 0.0030
-83.7166 42.8964 0.1194 0.0059 0.0152 0.0030 0.0030 0.0030
-84.7654 42.7541 0.1020 0.0889 -0.0305 0.0030 0.0030 0.0030
-85.4201 43.1677 -0.0324 0.0180 -0.0053 0.0030 0.0030 0.0030
-83.5113 43.8406 -0.0186 -0.0300 0.0079 0.0030 0.0030 0.0030
-83.6586 42.5613 0.0459 0.0040 0.0022 0.0030 0.0030 0.0030
-83.9671 44.7526 -0.0044 -0.0085 0.0029 0.0030 0.0030 0.0030
-85.7256 41.4118 0.0029 0.0130 0.0012 0.0030 0.0030 0.0030
-84.5531 45.6772 -0.0035 -0.0038 0.0035 0.0030 0.0030 0.0030
-85.6647 42.2714 0.0172 0.0210 0.0043 0.0030 0.0030 0.0030
-84.2086 43.5672 -0.0405 -0.0208 0.0001 0.0030 0.0030 0.0030
-83.9381 44.0001 -0.0221 -0.0195 0.0039 0.0030 0.0030 0.0030
-84.8513 43.7413 -0.0281 0.0042 -0.0064 0.0030 0.0030 0.0030
-83.6821 43.0332 0.1660 0.0213 0.0333 0.0030 0.0030 0.0030
-84.8629 43.3449 -0.0436 0.0070 -0.0058 0.0030 0.0030 0.0030
-85.5073 43.7166 -0.0214 0.0113 -0.0011 0.0030 0.0030 0.0030
-84.8558 43.6064 -0.0310 0.0038 -0.0021 0.0030 0.0030 0.0030
-83.7165 42.8815 0.1130 0.0158 0.0132 0.0030 0.0030 0.0030
-84.2839 43.6648 -0.0321 -0.0126 -0.0023 0.0030 0.0030 0.0030
-83.9207 42.0449 0.0070 0.0117 0.0017 0.0030 0.0030 0.0030
-85.3012 43.4403 -0.0265 0.0104 -0.0075 0.0030 0.0030 0.0030
-83.4094 43.3923 0.1447 0.0335 0.0285 0.0030 0.0030 0.0030
-84.3742 42.9904 0.2045 0.1095 -0.0434 0.0030 0.0030 0.0030
-82.8099 43.9650 -0.0034 -0.0170 0.0084 0.0030 0.0030 0.0030
-84.7475 43.9619 -0.0198 -0.0011 -0.0030 0.0030 0.0030 0.0030
-84.2604 43.1040 0.2340 0.0934 -0.0248 0.0030 0.0030 0.0030
-83.6860 42.6441 0.0539 0.0009 -0.0054 0.0030 0.0030 0.0030
-82.9911 42.8548 0.0623 -0.0242 0.0063 0.0030 0.0030 0.0030
-84.2170 43.3248 -0.0583 -0.0216 -0.0050 0.0030 0.0030 0.0030
-84.2692 43.7354 -0.0253 -0.0156 0.0031 0.0030 0.0030 0.0030
-83.7943 43.9442 -0.0141 -0.0227 0.0085 0.0030 0.0030 0.0030
-83.5272 42.4472 0.0225 -0.0036 -0.0008 0.0030 0.0030 0.0030
-85.1706 43.6058 -0.0255 0.0071 -0.0035 0.0030 0.0030 0.0030
-84.8122 42.6062 0.0607 0.0735 -0.0228 0.0030 0.0030 0.0030
-83.2835 45.4059 -0.0022 -0.0053 0.0050 0.0030 0.0030 0.0030
-84.8469 43.0937 0.1118 0.0504 -0.0144 0.0030 0.0030 0.0030
-85.2832 44.1584 -0.0054 0.0015 -0.0027 0.0030 0.0030 0.0030
-85.0245 43.7778 -0.0256 0.0060 -0.0075 0.0030 0.0030 0.0030
-83.2988 43.4592 0.1152 0.0316 0.0247 0.0030 0.0030 0.0030
-82.4786 43.0346 0.0462 -0.0137 0.0008 0.0030 0.0030 0.0030
-83.2107 44.4391 -0.0064 -0.0162 0.0003 0.0030 0.0030 0.0030
-83.0403 43.5611 0.0621 -0.0092 0.0349 0.0030 0.0030 0.0030
-83.3208 42.6245 0.0397 -0.0108 -0.0013 0.0030 0.0030 0.0030
-84.3118 43.5631 -0.0439 -0.0173 0.0006 0.0030 0.0030 0.0030
