# lon[degrees] lat[degrees] disp_los[m] sigma_los[m] V_e V_n V_u
-84.0361 42.8718 0.1795 0.0100 1.0000 1.0000 1.0000
-83.6385 41.7435 0.0095 0.0100 1.0000 1.0000 1.0000
-84.8174 44.0451 -0.0127 0.0100 1.0000 1.0000 1.0000
-83.4478 43.5178 -0.0597 0.0100 1.0000 1.0000 1.0000
-85.3905 42.1466 0.0510 0.0100 1.0000 1.0000 1.0000
-83.7776 44.8602 -0.0147 0.0100 1.0000 1.0000 1.0000
-85.2383 41.8780 0.0351 0.0100 1.0000 1.0000 1.0000
-84.3107 42.6949 0.1361 0.0100 1.0000 1.0000 1.0000
-83.1461 43.9292 -0.0346 0.0100 1.0000 1.0000 1.0000
-84.2193 44.3635 -0.0131 0.0100 1.0000 1.0000 1.0000
-83.7248 43.7108 -0.0569 0.0100 1.0000 1.0000 1.0000
-83.0731 42.7110 0.0256 0.0100 1.0000 1.0000 1.0000
-83.6134 42.8725 0.1131 0.0100 1.0000 1.0000 1.0000
-83.9740 43.5123 -0.0671 0.0100 1.0000 1.0000 1.0000
-85.8077 41.5385 0.0241 0.0100 1.0000 1.0000 1.0000
-85.3725 43.8516 -0.0175 0.0100 1.0000 1.0000 1.0000
-83.7166 42.8964 0.1405 0.0100 1.0000 1.0000 1.0000
-84.7654 42.7541 0.1604 0.0100 1.0000 1.0000 1.0000
-85.4201 43.1677 -0.0196 0.0100 1.0000 1.0000 1.0000
-83.5113 43.8406 -0.0407 0.0100 1.0000 1.0000 1.0000
-83.6586 42.5613 0.0520 0.0100 1.0000 1.0000 1.0000
-83.9671 44.7526 -0.0100 0.0100 1.0000 1.0000 1.0000
-85.7256 41.4118 0.0170 0.0100 1.0000 1.0000 1.0000
-84.5531 45.6772 -0.0039 0.0100 1.0000 1.0000 1.0000
-85.6647 42.2714 0.0426 0.0100 1.0000 1.0000 1.0000
-84.2086 43.5672 -0.0612 0.0100 1.0000 1.0000 1.0000
-83.9381 44.0001 -0.0378 0.0100 1.0000 1.0000 1.0000
-84.8513 43.7413 -0.0302 0.0100 1.0000 1.0000 1.0000
-83.6821 43.0332 0.2206 0.0100 1.0000 1.0000 1.0000
-84.8629 43.3449 -0.0424 0.0100 1.0000 1.0000 1.0000
-85.5073 43.7166 -0.0111 0.0100 1.0000 1.0000 1.0000
-84.8558 43.6064 -0.0293 0.0100 1.0000 1.0000 1.0000
-83.7165 42.8815 0.1420 0.0100 1.0000 1.0000 1.0000
-84.2839 43.6648 -0.0470 0.0100 1.0000 1.0000 1.0000
-83.9207 42.0449 0.0204 0.0100 1.0000 1.0000 1.0000
-85.3012 43.4403 -0.0236 0.0100 1.0000 1.0000 1.0000
-83.4094 43.3923 0.2066 0.0100 1.0000 1.0000 1.0000
-84.3742 42.9904 0.2706 0.0100 1.0000 1.0000 1.0000
-82.8099 43.9650 -0.0121 0.0100 1.0000 1.0000 1.0000
-84.7475 43.9619 -0.0239 0.0100 1.0000 1.0000 1.0000
-84.2604 43.1040 0.3026 0.0100 1.0000 1.0000 1.0000
-83.6860 42.6441 0.0494 0.0100 1.0000 1.0000 1.0000
-82.9911 42.8548 0.0444 0.0100 1.0000 1.0000 1.0000
-84.2170 43.3248 -0.0850 0.0100 1.0000 1.0000 1.0000
-84.2692 43.7354 -0.0378 0.0100 1.0000 1.0000 1.0000
-83.7943 43.9442 -0.0283 0.0100 1.0000 1.0000 1.0000
-83.5272 42.4472 0.0180 0.0100 1.0000 1.0000 1.0000
-85.1706 43.6058 -0.0219 0.0100 1.0000 1.0000 1.0000
-84.8122 42.6062 0.1115 0.0100 1.0000 1.0000 1.0000
-83.2835 45.4059 -0.0024 0.0100 1.0000 1.0000 1.0000
-84.8469 43.0937 0.1478 0.0100 1.0000 1.0000 1.0000
-85.2832 44.1584 -0.0066 0.0100 1.0000 1.0000 1.0000
-85.0245 43.7778 -0.0271 0.0100 1.0000 1.0000 1.0000
-83.2988 43.4592 0.1715 0.0100 1.0000 1.0000 1.0000
-82.4786 43.0346 0.0334 0.0100 1.0000 1.0000 1.0000
-83.2107 44.4391 -0.0223 0.0100 1.0000 1.0000 1.0000
-83.0403 43.5611 0.0878 0.0100 1.0000 1.0000 1.0000
-83.3208 42.6245 0.0277 0.0100 1.0000 1.0000 1.0000
-84.3118 43.5631 -0.0606 0.0100 1.0000 1.0000 1.0000
